name f1,E f1,R f1,R _REMOVE_ f1,name f2,E f2,R f2,R _REMOVE_ f2,tau,result
Chuck Liddell,0.5549032792493355,1557.8146302821397,1578.293521695655,Tito Ortiz,0.44509672075066453,1538.6620509436545,1517.4278070146142,152,0
Genki Sudo,0.4904119874750445,1496.668374846012,1521.4894802054896,Mike Brown,0.5095880125249554,,1474.8872216532498,152,1
Jonathan Wiezorek,,,1524.6402758007582,Wade Shipp,,,1475.3597241992418,152,0
Mike Kyle,0.5570817618567496,,1521.827255090071,Wes Sims,0.4429182381432504,1480.080924649337,1458.5071827551446,152,0
Nick Diaz,0.4333065616619323,1524.6402758007582,1552.4280427287001,Robbie Lawler,0.5666934383380677,1547.9508594669119,1521.3357208645007,152,0
Yves Edwards,0.5763533353039586,1551.0358216577938,1570.5277964119018,Hermes Franca,0.4236466646960414,1524.2988178374394,1503.846974393837,152,2
Evan Tanner,0.682998654716093,1548.9402571937485,1563.828438653243,Phil Baroni,0.317001345283907,1482.2685085952462,1467.3803271357517,163,2
Frank Mir,0.4183696982958346,1552.0505426845396,1578.811341486475,Tim Sylvia,0.5816303017041654,1580.6679031581555,1552.589287500828,163,1
Frank Trigg,0.5372727287431868,1488.333664421886,1511.0234587533605,Dennis Hallman,0.46272727125681323,1475.3597241992418,1452.6699298677672,163,0
Georges St-Pierre,0.5815627878410004,1528.593261963858,1549.1112968286195,Jay Hieron,0.41843721215899965,,1479.3791833742039,163,0
Ken Shamrock,0.3889985697549401,1482.1519632224201,1512.1123689509232,Kimo Leopoldo,0.6110014302450599,1521.370807683815,1491.410401955312,163,0
Matt Hughes,0.6620883771330682,1584.4349487833938,1599.5719232979106,Renato Verissimo,0.33791162286693177,1526.012382009335,1509.4429129044759,163,2
Matt Serra,0.5169846371919947,1505.903338710488,1528.1268661031916,Ivan Menjivar,0.4830153628080053,,1476.1967364888148,163,2
Trevor Prangley,,,1524.6402758007582,Curtis Stout,,,1475.3597241992418,163,1
Chris Lytle,0.5117367511690264,1504.0785142189768,1527.8609291198786,Ronald Jhun,0.4882632488309736,,1475.9381177708613,172,1
Chuck Liddell,0.7129260390861374,1578.293521695655,1591.1531895379944,Vernon White,0.2870739609138626,1499.2833865469413,1485.206738085385,172,0
David Terrell,0.346678206892901,,1532.1960583376097,Matt Lindland,0.6533217931070989,1555.040120748591,1526.7638730865694,172,0
Joe Riggs,,,1524.6402758007582,Joe Doerksen,,,1475.3597241992418,172,0
Justin Eilers,0.4375046431359972,,1527.7200814595499,Mike Kyle,0.5624953568640028,1521.827255090071,1494.2453407477667,172,0
Karo Parisyan,0.35262973414469234,1499.6612790538504,1531.1935074039056,Nick Diaz,0.6473702658553077,1552.4280427287001,1520.895814378645,172,2
Randy Couture,0.4788005485933141,1535.1514284251982,1558.4989023770784,Vitor Belfort,0.5211994514066859,1542.521290542331,1517.3600170770744,172,0
Yves Edwards,0.5501065012200317,1570.5277964119018,1590.6810730808165,Josh Thomson,0.4498934987799683,1553.0603843888812,1531.1468902341992,172,0
Evan Tanner,0.6199216050669777,1563.828438653243,1581.3158381679584,Robbie Lawler,0.3800783949330223,1521.3357208645007,1503.8483213497852,181,1
Frank Trigg,0.5045490511152041,1511.0234587533605,1535.1559734524194,Renato Verissimo,0.4954509488847959,1509.4429129044759,1485.310398205417,181,0
Ivan Salaverry,0.4365323932631606,1502.46978031017,1529.9152627189285,Tony Fryklund,0.5634676067368394,1524.6402758007582,1497.0106872645524,181,1
Matt Hughes,0.6412858412282958,1599.5719232979106,1615.097335889864,Georges St-Pierre,0.3587141587717042,1549.1112968286195,1531.638982508092,181,1
Rich Franklin,0.6484956434001858,1552.8655396117838,1569.9866775801777,Jorge Rivera,0.35150435659981416,1499.6702694652322,1482.5491314968383,181,1
Tito Ortiz,0.5499936510513166,1517.4278070146142,1538.5626579568784,Patrick Cote,0.4500063489486834,,1477.8234388996245,181,2
