age f1,height f1,reach f1,tau,name f1,normal bout,3 rounds,female,male,Catch weight,Strawweight,Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light Heavyweight,Heavyweight,title bout,5 rounds,has title bout f1,has not title bout f1,tot title bout f1,has 5 rounds f1,has not 5 rounds f1,tot 5 rounds f1,has round 1 fought f1,has not round 1 fought f1,tot round 1 fought f1,has round 2 fought f1,has not round 2 fought f1,tot round 2 fought f1,has round 3 fought f1,has not round 3 fought f1,tot round 3 fought f1,has round 4 fought f1,has not round 4 fought f1,tot round 4 fought f1,has round 5 fought f1,has not round 5 fought f1,tot round 5 fought f1,tot r1 time f1,tot r2 time f1,tot r3 time f1,tot r4 time f1,tot r5 time f1,weeks active f1,last fight wa f1,age f2,height f2,reach f2,name f2,has title bout f2,has not title bout f2,tot title bout f2,has 5 rounds f2,has not 5 rounds f2,tot 5 rounds f2,has round 1 fought f2,has not round 1 fought f2,tot round 1 fought f2,has round 2 fought f2,has not round 2 fought f2,tot round 2 fought f2,has round 3 fought f2,has not round 3 fought f2,tot round 3 fought f2,has round 4 fought f2,has not round 4 fought f2,tot round 4 fought f2,has round 5 fought f2,has not round 5 fought f2,tot round 5 fought f2,tot r1 time f2,tot r2 time f2,tot r3 time f2,tot r4 time f2,tot r5 time f2,weeks active f2,last fight wa f2,Klog f1,Kcust f1,xp_score f1,Klogr2 f1,Kcustr2 f1,xp_scorer2 f1,Klogr3 f1,Kcustr3 f1,xp_scorer3 f1,Klogr4 f1,Kcustr4 f1,xp_scorer4 f1,Klogr5 f1,Kcustr5 f1,xp_scorer5 f1,Klog f2,Kcust f2,xp_score f2,Klogr2 f2,Kcustr2 f2,xp_scorer2 f2,Klogr3 f2,Kcustr3 f2,xp_scorer3 f2,Klogr4 f2,Kcustr4 f2,xp_scorer4 f2,Klogr5 f2,Kcustr5 f2,xp_scorer5 f2,E f1,R f1,R _REMOVE_ f1,E f2,R f2,R _REMOVE_ f2,result
1168.0,175.26,70.0,0,BJ Penn,1,1,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1299.0,180.34,,Joey Gilbert,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,,,1524.6402758007582,,,1524.6402758007582,0
1289.0,175.26,,0,Carlos Newton,0,0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1729.0,177.8,,Pat Miletich,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,,,1524.6402758007582,,,1524.6402758007582,1
1637.0,187.96,76.0,0,Chuck Liddell,1,1,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1551.0,177.8,,Kevin Randleman,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,,,1524.6402758007582,,,1524.6402758007582,0
1615.0,182.88,74.0,0,Matt Lindland,1,1,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1274.0,182.88,74.0,Ricardo Almeida,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,,,1500.0,,,1500.0,-1
1975.0,185.42,75.0,0,Randy Couture,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1409.0,185.42,,Pedro Rizzo,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,49.280551601516336,50.0,0.0,,,1524.6402758007582,,,1524.6402758007582,2
