suffix,vv_size,vv_seed,vv_random_split,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,top_k_feats,n_features,ll7_tv,f1macro7_tv,acc7_tv,ll2_tv,f1macro2_tv,acc2_tv,ll7_vt,f1macro7_vt,acc7_vt,ll2_vt,f1macro2_vt,acc2_vt
natty,0,34,False,5,0.0196338800396204,706,20,2.086247832177047,0.8,1,0.0,1.0,95,95,1.5937,0.2536,0.344,0.588,0.6656,0.6656,1.567,0.2414,0.3617,0.6346,0.6464,0.6464
natty,0,34,False,5,0.0209953088513786,685,20,2.218463908180193,0.8,1,0.0,1.0,98,98,1.5937,0.2535,0.3438,0.5884,0.6649,0.6649,1.5671,0.2402,0.3601,0.6347,0.6475,0.6476
natty,0,34,False,5,0.0270060930010462,531,21,2.2954038992607804,0.7948429259298254,1,0.0,1.0,74,74,1.5937,0.2534,0.3435,0.5878,0.6658,0.6658,1.5682,0.2405,0.3594,0.6345,0.6444,0.6444
natty,0,34,False,5,0.0201469111722132,694,20,2.0427925342039943,0.8,1,0.0,1.0,117,117,1.5938,0.2568,0.3478,0.5889,0.6655,0.6655,1.5696,0.2384,0.3574,0.6358,0.646,0.646
natty,0,34,False,5,0.0187770470812781,674,20,2.2022553855833946,0.8,1,0.0,1.0,105,105,1.5938,0.2566,0.3471,0.5885,0.6647,0.6647,1.5674,0.2404,0.3584,0.6353,0.6462,0.6462
natty,0,34,False,6,0.0200314750887353,600,20,2.0937663157166835,0.8,1,0.0,1.0,103,103,1.5938,0.2559,0.3477,0.5876,0.6663,0.6663,1.5689,0.2338,0.3518,0.635,0.6465,0.6465
natty,0,34,False,5,0.0186240745617697,661,20,2.0145209030420497,0.8,1,0.0,1.0,108,108,1.5938,0.2558,0.3462,0.5885,0.6651,0.6651,1.567,0.2395,0.3577,0.6351,0.6479,0.6479
natty,0,34,False,5,0.0191844471086747,671,20,2.056766502867181,0.8,1,0.0,1.0,102,102,1.5938,0.2555,0.3458,0.5886,0.6654,0.6654,1.5673,0.2389,0.3573,0.635,0.6455,0.6455
natty,0,34,False,5,0.0185291681114211,687,20,2.1170013769446543,0.8,1,0.0,1.0,100,100,1.5938,0.2553,0.3462,0.5885,0.6651,0.6651,1.5673,0.239,0.3569,0.6349,0.6463,0.6463
natty,0,34,False,5,0.0229214464853521,510,19,2.392587980696507,0.7699673782158359,1,0.0,1.0,86,86,1.5938,0.254,0.3439,0.5892,0.6666,0.6666,1.5696,0.2364,0.3583,0.6343,0.6478,0.6478
natty,0,34,False,5,0.0270550770390901,529,21,2.299768142557676,0.7962517047316165,1,0.0,1.0,78,78,1.5938,0.2531,0.3419,0.5879,0.6672,0.6672,1.5681,0.2387,0.3588,0.6349,0.6434,0.6434
natty,0,34,False,5,0.0180803297387337,692,20,2.092374163762434,0.8,1,0.0,1.0,101,101,1.5939,0.2555,0.3462,0.5888,0.6656,0.6656,1.5665,0.239,0.3583,0.6348,0.6451,0.6451
natty,0,34,False,5,0.0182602063719411,717,20,2.24140800826864,0.8,1,0.0,1.0,107,107,1.5939,0.2553,0.3457,0.5887,0.664,0.664,1.5665,0.2407,0.3589,0.6351,0.6484,0.6484
natty,0,34,False,5,0.0204474115788895,659,20,2.0730361621338047,0.8,1,0.0,1.0,100,100,1.5939,0.2547,0.3451,0.5884,0.666,0.666,1.567,0.2408,0.3586,0.6348,0.6465,0.6465
natty,0,34,False,5,0.0269384030815236,545,21,2.3641444360134187,0.8105510163589541,1,0.0,1.0,92,92,1.5939,0.2546,0.3446,0.5879,0.6653,0.6653,1.5664,0.2369,0.3598,0.6334,0.6498,0.6498
natty,0,34,False,5,0.0208606784487871,683,20,2.1408904772476105,0.8,1,0.0,1.0,98,98,1.5939,0.2544,0.3443,0.5886,0.6642,0.6642,1.5666,0.2398,0.3598,0.6346,0.6487,0.6487
natty,0,34,False,5,0.0283279458898258,499,20,2.2605384699276816,0.7938717998694814,1,0.0,1.0,69,69,1.5939,0.2537,0.3455,0.5878,0.6701,0.6701,1.5701,0.2363,0.3573,0.6351,0.6404,0.6404
natty,0,34,False,5,0.026089582803996,529,18,2.344837212605884,0.793609983357228,1,0.0,1.0,77,77,1.5939,0.2534,0.3425,0.5883,0.6682,0.6682,1.5677,0.2398,0.3589,0.6347,0.6396,0.6396
