upp_low,temp_f_id,name f1,name f2,tau
1,68,Din Thomas,Caol Uno,73
0,69,Gan McGee,Pedro Rizzo,73
1,70,Ivan Salaverry,Matt Lindland,73
0,70,Matt Lindland,Ivan Salaverry,73
1,67,Matt Serra,BJ Penn,73
1,69,Pedro Rizzo,Gan McGee,73
0,71,Phil Baroni,Dave Menne,73
1,72,Randy Couture,Ricco Rodriguez,73
0,72,Ricco Rodriguez,Randy Couture,73
0,73,Sean Sherk,Benji Radach,73
0,74,Tim Sylvia,Wesley Correira,73
1,74,Wesley Correira,Tim Sylvia,73
0,75,Andrei Arlovski,Ian Freeman,81
0,76,Carlos Newton,Pete Spratt,81
0,77,Chuck Liddell,Renato Sobral,81
1,78,Gil Castillo,Matt Hughes,81
1,75,Ian Freeman,Andrei Arlovski,81
1,81,Ken Shamrock,Tito Ortiz,81
1,79,Mark Weir,Phillip Miller,81
0,78,Matt Hughes,Gil Castillo,81
1,76,Pete Spratt,Carlos Newton,81
0,79,Phillip Miller,Mark Weir,81
1,77,Renato Sobral,Chuck Liddell,81
0,80,Robbie Lawler,Tiki Ghosn,81
1,80,Tiki Ghosn,Robbie Lawler,81
0,81,Tito Ortiz,Ken Shamrock,81
1,82,Travis Wiuff,Vladimir Matyushenko,81
0,82,Vladimir Matyushenko,Travis Wiuff,81
1,86,Alexandre Dantas,Gan McGee,95
0,83,BJ Penn,Caol Uno,95
1,83,Caol Uno,BJ Penn,95
1,85,David Abbott,Frank Mir,95
0,84,Din Thomas,Matt Serra,95
0,85,Frank Mir,David Abbott,95
0,86,Gan McGee,Alexandre Dantas,95
0,87,Matt Lindland,Phil Baroni,95
1,84,Matt Serra,Din Thomas,95
1,89,Pedro Rizzo,Vladimir Matyushenko,95
1,87,Phil Baroni,Matt Lindland,95
1,88,Ricco Rodriguez,Tim Sylvia,95
1,90,Rich Clementi,Yves Edwards,95
0,88,Tim Sylvia,Ricco Rodriguez,95
0,89,Vladimir Matyushenko,Pedro Rizzo,95
0,90,Yves Edwards,Rich Clementi,95
0,91,Dave Strasser,Romie Aram,103
0,92,David Loiseau,Mark Weir,103
0,93,Duane Ludwig,Genki Sudo,103
1,97,Evan Tanner,Rich Franklin,103
1,93,Genki Sudo,Duane Ludwig,103
0,94,Hermes Franca,Richard Crunkilton,103
1,92,Mark Weir,David Loiseau,103
0,95,Matt Hughes,Sean Sherk,103
0,96,Pete Spratt,Robbie Lawler,103
0,97,Rich Franklin,Evan Tanner,103
1,94,Richard Crunkilton,Hermes Franca,103
1,96,Robbie Lawler,Pete Spratt,103
1,91,Romie Aram,Dave Strasser,103
1,98,Sean Alvarez,Wesley Correira,103
1,95,Sean Sherk,Matt Hughes,103
0,98,Wesley Correira,Sean Alvarez,103
1,102,Chuck Liddell,Randy Couture,109
1,100,David Abbott,Kimo Leopoldo,109
1,105,Eddie Ruiz,Yves Edwards,109
0,99,Falaniko Vitale,Matt Lindland,109
1,103,Ian Freeman,Vernon White,109
0,100,Kimo Leopoldo,David Abbott,109
1,104,Marvin Eastman,Vitor Belfort,109
1,99,Matt Lindland,Falaniko Vitale,109
0,101,Pedro Rizzo,Tra Telligman,109
0,102,Randy Couture,Chuck Liddell,109
1,101,Tra Telligman,Pedro Rizzo,109
0,103,Vernon White,Ian Freeman,109
0,104,Vitor Belfort,Marvin Eastman,109
0,105,Yves Edwards,Eddie Ruiz,109
0,106,Andrei Arlovski,Vladimir Matyushenko,125
1,107,Caol Uno,Hermes Franca,125
1,110,Dave Strasser,Karo Parisyan,125
1,108,David Loiseau,Jorge Rivera,125
1,113,Edwin DeWees,Rich Franklin,125
1,114,Gan McGee,Tim Sylvia,125
1,109,Gerald Strebendt,Josh Thomson,125
0,107,Hermes Franca,Caol Uno,125
1,111,Jeremy Jackson,Nick Diaz,125
0,108,Jorge Rivera,David Loiseau,125
0,109,Josh Thomson,Gerald Strebendt,125
0,110,Karo Parisyan,Dave Strasser,125
0,111,Nick Diaz,Jeremy Jackson,125
0,112,Randy Couture,Tito Ortiz,125
0,113,Rich Franklin,Edwin DeWees,125
0,114,Tim Sylvia,Gan McGee,125
1,112,Tito Ortiz,Randy Couture,125
1,106,Vladimir Matyushenko,Andrei Arlovski,125
1,116,Chris Liguori,Keith Rockel,133
1,120,Chris Lytle,Robbie Lawler,133
1,121,David Abbott,Wesley Correira,133
0,115,Evan Tanner,Phil Baroni,133
1,118,Falaniko Vitale,Matt Lindland,133
1,117,Frank Trigg,Matt Hughes,133
0,116,Keith Rockel,Chris Liguori,133
0,117,Matt Hughes,Frank Trigg,133
0,118,Matt Lindland,Falaniko Vitale,133
1,122,Nick Agallar,Yves Edwards,133
0,119,Pedro Rizzo,Ricco Rodriguez,133
1,115,Phil Baroni,Evan Tanner,133
1,119,Ricco Rodriguez,Pedro Rizzo,133
0,120,Robbie Lawler,Chris Lytle,133
0,121,Wesley Correira,David Abbott,133
0,122,Yves Edwards,Nick Agallar,133
0,123,BJ Penn,Matt Hughes,143
1,129,Carlos Newton,Renato Verissimo,143
0,124,Frank Mir,Wes Sims,143
0,125,Georges St-Pierre,Karo Parisyan,143
1,126,Hermes Franca,Josh Thomson,143
